Designator,Mid X,Mid Y,Rotation,Layer
C1,0.47,72.1225,-90,bottom
C2,9.614,49.276,-90,bottom
C3,-7.15,77.724,0,bottom
C4,-13.5,67.31,90,bottom
C5,8.09,77.216,0,bottom
J1,-0.038,4.953,0,bottom
R1,31.1005,80.264,0,bottom
R2,0.47,76.7315,-90,bottom
R3,-13.5,63.5235,-90,bottom
R4,-23.152,81.1295,90,bottom
R5,-25.692,81.1295,90,bottom
R6,-28.232,81.1295,90,bottom
R7,-30.772,81.1295,90,bottom
R8,-33.312,81.1295,90,bottom
U1,0,54,180,bottom
U2,-7.15,69.977,180,bottom
U3,8.09,69.85,180,bottom
